                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.0818,                0.66595,                 1.0564,                 1.1992,                0.67356,                 1.0828,                0.89392,                0.77592,                0.85059,                0.54558,                 1.1779,                0.61297,                 1.1494,                 1.2308,                0.59588,                 1.1702,              0.0084485,              0.0084485,              0.0084485
                     45,                 1.0815,                0.64823,                 1.0561,                 1.1988,                0.64983,                 1.0819,                0.90977,                0.73394,                0.85947,                 0.5504,                 1.1828,                0.61349,                  1.165,                 1.2344,                0.55973,                 1.1581,              0.0084116,              0.0084116,              0.0084116
                     46,                 1.0744,                0.64753,                 1.0579,                 1.1935,                0.65276,                  1.089,                0.73698,                0.81126,                0.81119,                 0.5242,                 1.1813,                0.62243,                 1.1512,                 1.2214,                0.57011,                 1.1683,              0.0083746,              0.0083746,              0.0083746
                     47,                 1.0703,                0.64653,                 1.0563,                 1.1903,                0.64977,                 1.0902,                0.86764,                0.73204,                0.82348,                0.53627,                 1.1687,                0.59117,                 1.1529,                 1.2054,                0.54933,                 1.1612,              0.0083377,              0.0083377,              0.0083377
                     48,                 1.0779,                0.65016,                 1.0541,                  1.197,                0.65467,                 1.0818,                0.86381,                0.84149,                 0.8911,                0.58569,                 1.1322,                0.56545,                 1.1273,                 1.1957,                0.52037,                 1.1526,              0.0083007,              0.0083007,              0.0083007
                     49,                 1.0765,                0.64188,                 1.0624,                 1.1882,                0.64208,                 1.0868,                0.77866,                 0.8123,                0.84772,                 0.5329,                 1.1904,                0.61396,                 1.1559,                 1.2444,                0.59737,                 1.1784,              0.0082638,              0.0082638,              0.0082638
                     50,                 1.0769,                0.65327,                 1.0525,                  1.188,                0.65542,                 1.0892,                0.85128,                0.79201,                0.87296,                0.55131,                 1.1678,                0.57363,                   1.15,                 1.2474,                0.55155,                 1.1857,              0.0082269,              0.0082269,              0.0082269
                     51,                 1.0573,                0.65109,                 1.0473,                 1.1673,                0.66126,                 1.0838,                0.92608,                0.81767,                0.87952,                0.56372,                 1.1655,                0.57654,                 1.1441,                 1.2093,                0.55048,                 1.1719,              0.0081899,              0.0081899,              0.0081899
                     52,                 1.0539,                0.62964,                 1.0477,                 1.1669,                0.63215,                 1.0854,                0.83511,                 0.8391,                0.87654,                0.58107,                  1.184,                0.59395,                 1.1445,                 1.2267,                 0.5806,                  1.174,               0.008153,               0.008153,               0.008153
                     53,                 1.0552,                0.63644,                 1.0433,                 1.1713,                0.63611,                  1.076,                0.88564,                0.76418,                0.86312,                 0.5419,                 1.1714,                0.56837,                 1.1549,                 1.2544,                0.55789,                 1.2023,               0.008116,               0.008116,               0.008116
